Actor,Rating
June Lockhart,2.1679732413504755
Blake Edwards,2.703459809762726
Jimmy Tatro,2.248249189923696
Aaliyah,2.7650256088638026
Meredith Baxter,2.47360719138706
Michael Shannon,1.980976272603742
Abigail Cowen,2.9545312010034492
Don Ameche,2.1632695724887636
Camilla Belle,2.1301348385073693
Nana Visitor,2.2144873000940732
Ryan Hurst,2.170690916692798
Liam Hemsworth,2.171213546566322
Kimberly J. Brown,2.293927040869656
Andrew Santino,2.3253893592557753
Tanner Buchanan,2.558900386746106
Nadia Bjorlin,2.4011706909166928
James Carpinello,2.283788021323299
Calum Worthy,2.261001358837671
Nick Frost,2.1042123967806
Uzo Aduba,2.3129507682659143
Graham Chapman,2.5788648479147067
Gracie Dzienny,2.7449566217204975
Stephen Furst,2.3245531514581375
Garrett Wareing,2.4579282951813526
Sydney Park,2.5468798996550643
John Hensley,2.53015574370231
Dixie Carter,2.5321417372216994
Todd Bridges,2.3201630605205392
Claire van der Boom,2.449775269154385
Laura Prepon,2.253998118532455
Sharon Farrell,2.3241350475593183
Robert Wahlberg,2.24302289118846
Dave Navarro,2.586077140169332
Chi McBride,2.0690916692798162
Carolyn McCormick,2.2605832549388523
Amy Johnston,2.6649942510713913
Patricia Clarkson,2.0236228702832655
Sunrise Coigney,2.8133166091773805
Maria del Mar,2.465872269258911
Terry Serpico,2.1182188773910315
Giorgia Whigham,2.787916797324135
Leven Rambin,2.234033657363855
Harriet Walter,2.155012020487091
Carole Lombard,2.319222326748197
Inga Swenson,2.660604160133793
Ed Speleers,2.2887007421344205
Mary-Margaret Humes,2.545102958085084
Danneel Ackles,2.3314518657886483
Diana Silvers,2.453538204243755
Michael McKean,1.995609909062402
Marisha Ray,3.082993623915543
Max Irons,2.2613149367617855
Scott Whyte,2.1563708581582524
Joanne Linville,2.4934671265809554
Johnny Knoxville,2.0738998641162327
Nick Swardson,2.058116441935821
Johnny Depp,1.979931012856695
Numan Acar,2.253998118532455
Anthony Konechny,2.262569248458242
Michael Trevino,2.753527751646284
Gabriel Damon,2.45343367826905
Emily Beecham,2.282638235601547
Sylvia Syms,2.2708268004599144
Shane McRae,2.363959443921815
Conan O'Brien,2.1651510400334484
Garry Shandling,2.085920351207275
Bobby Lee,2.150621929549493
M. Night Shyamalan,2.281174871955681
Sheila Kelley,2.1512490853977213
Gaius Charles,2.3869551583568516
Iman,2.235392495035016
Jordana Spiro,2.2860875927668025
Philip Michael Thomas,2.531305529424062
Clive Owen,2.0751541758126892
Justin Kirk,2.112992578655796
Nicole Kidman,1.9937284415177172
Priyanka Chopra,2.4049336260060623
Cynthia Erivo,2.435768788543953
Tyler Labine,2.083411727814362
Cherie Lunghi,2.345562872373785
Wendy Raquel Robinson,2.288491690185011
Amy Morton,2.2436500470366885
Jenny Boyd,2.884185220027177
Gemma Chan,2.1622243127417162
Omar Metwally,2.273858053726351
Kaylee Bryant,3.0031357792411413
Al Pacino,2.0179784676492107
Keenen Ivory Wayans,2.350580119159611
Florence Faivre,2.964461168600397
Richard Erdman,2.293613462945542
Ashley Tisdale,2.247517508100763
Elle Graham,2.395526288282638
John Candy,2.0883244486254835
Mari Blanchard,2.701055712344518
Emily Skinner,3.0458869028953695
Jeremy Renner,2.0429601756036373
Diego Klattenhoff,2.276366677119264
Geraldine Chaplin,2.047977422389464
Mary-Charles Jones,2.4835371589840074
Paul Walter Hauser,2.234033657363855
Noemie Merlant,2.7830040765130133
Famke Janssen,2.0249817079544266
Briana Cuoco,3.1464408905613044
Amanda Plummer,2.0330302080066898
Douglas Henshall,2.252639280861294
Matthew Goode,2.1723633322880738
Daphne Zuniga,2.276784781018083
Victoria Jackson,2.1669279816034286
Ella Bleu Travolta,2.5362182502351835
Elizabeth Tabish,2.655168809449148
Will Peltz,2.2331974495662172
Shannon Purser,2.7614717257238426
Asa Butterfield,2.2279711508309816
Leonor Varela,2.153966760740044
Greta Gerwig,2.1439322671683914
Brian Baumgartner,2.2901641057802866
Denholm Elliott,2.1150830981498903
John Barrowman,2.3497439113619736
Wil Wheaton,2.1465454165360094
Armie Hammer,2.0798578446744016
Sam Worthington,2.0956412668548134
Spencer Tracy,2.282220131702728
Janet Varney,2.3007212292254624
Raoul Bova,2.3962579701055713
Mia Sara,2.2434409950872793
Daniel Davis,2.3748301452911047
Carrie Coon,2.178112260896833
Ciara Hanna,2.4584509250548763
Jason Ritter,2.0678373575833593
Kaliko Kauahi,2.7051322253580015
Drew Carey,2.271663008257552
Sam Peckinpah,2.3501620152607923
Frances Barber,2.2432319431378698
Maren Jensen,2.7653391867879167
Richard Harrington,2.4963938538726875
Zack Ward,2.1201003449357163
William B. Davis,2.0526810912511757
Robert Oliveri,2.5847183024981706
Jean Yoon,2.3904045155221074
James Sloyan,2.599665516880945
Pedro Alonso,2.6175394585554512
Grace Van Dien,2.5292150099299677
Isaiah John,2.5120727500783944
Henry Simmons,2.303438904567785
Lindsay Watson,2.900804850005226
Tuba Buyukustun,3.099717779868297
Conchata Ferrell,2.1318072541026445
Annet Mahendru,2.7695202257761053
Natalie Mendoza,2.4989024772656006
Brett Gelman,2.182815929758545
Carrie Fisher,2.027385805372635
Barrie Chase,2.377338768684018
Colleen Camp,1.9855754154907495
Majel Barrett,2.1821887739103167
Son Ye-Jin,2.9371798892024668
Joey Cramer,2.501515626633218
Dean Winters,2.2086338455106094
Peter Mark Richman,2.499007003240305
Tim Kang,2.41507264555242
Mike Colter,2.2382146963520433
Shree Crooks,2.5964252116650988
Will Keen,2.6274694261523988
Daniela Melchior,3.6449252639280862
Julia Sawalha,2.5373680359569355
Rachael Leigh Cook,2.043587331451866
Chiwetel Ejiofor,2.05477161074527
Cristina Valenzuela,2.6777464199853664
Paul Feig,2.1351520852931953
Cary Joji Fukunaga,2.867983693947946
Richard Burgi,2.1863698128985054
Casey Sander,2.157625169854709
Jess Harnell,2.006167032507578
Darlanne Fluegel,2.2310024040974183
Laci J Mailey,2.7570816347862444
Jane Wyatt,2.2329883976168077
Seychelle Gabriel,2.5731159193059474
Emmy Rossum,2.1372426047872897
Magda Apanowicz,2.5078917110902057
Ti West,2.726246472248354
Victoria Justice,2.228911884603324
Travis Wester,2.298421657781959
Richard Griffiths,2.0987770460959547
Callum Turner,2.390195463572698
Mark Moses,2.062924636772238
Coby Bell,2.695097731786349
Reno Wilson,2.0978363123236123
Amy Brenneman,2.103167137033553
Jonah Hauer-King,2.6162851468589943
Clayton James,2.750287446430438
Cheech Marin,2.0148426884080695
Sophia Di Martino,2.6921710044946168
Fenella Woolgar,2.222640326121041
Janel Moloney,2.2253580014633636
Molly Sims,2.2818020278039093
Britt Robertson,2.1095432214905405
Kathryn Prescott,2.4779972823246577
Helen McCrory,2.1910734817602173
Regina Hall,2.0702414550015678
Vanessa Bell Calloway,2.1623288387164212
Julian Rhind-Tutt,2.1318072541026445
Brooke Burke,2.791157102539981
Max Beesley,2.2580746315459392
Mackenzie Phillips,2.4020068987143306
Raul Castillo,2.3086652033030206
Eric Idle,2.1227134943033343
Mark-Paul Gosselaar,2.459914288700742
Jared Harris,2.008780181875196
Richard Lewis,2.167764189401066
Keiynan Lonsdale,2.446744015887948
Jim Varney,2.3335423852827426
Joan Hickson,2.2615239887111946
Cheyenne Jackson,2.275739521271036
Common,2.0151562663321836
Brian J. Smith,2.699801400648061
Elizabeth Mitchell,2.2654959757499737
Bill McKinney,2.0919828577401485
Kate Burton,2.0890561304484163
Arsenio Hall,2.2197135988293093
Kristin Dattilo,2.3298839761680776
Ryan Watson,2.5739521271035852
Scott William Winters,2.382774119368663
Aidan McArdle,2.3910316713703357
Adam Wylie,2.172154280338664
Diana Scarwid,2.1366154489390614
Ashton Sanders,2.405456255879586
Jacqueline McKenzie,2.3175499111529216
Jason Behr,2.265077871851155
Lela Rochon,2.169332079021637
Eamonn Walker,2.248667293822515
Mindy Cohn,2.506114769520226
Niamh Cusack,2.3281070345980974
Keri Lynn Pratt,2.2739625797010556
David Chokachi,2.3910316713703357
Tracy Spiridakos,2.6653078289955054
Eion Bailey,2.2587017873941675
LaMonica Garrett,2.359360301034807
Gina Bellman,2.610222640326121
America Olivo,2.238737326225567
Lucy Lawless,2.2860875927668025
Bob Balaban,2.0006271558482283
Freddie Fox,2.277516462841016
Nicolas Cage,1.9424061879377026
Lainie Kazan,2.08957876032194
Lindsey Morgan,2.5452074840597887
Vicki Lawrence,3.0181875195986203
Peter Koch,2.161910734817602
Lauren Hutton,2.1461273126371903
Italia Ricci,2.628096582000627
Cory Monteith,2.4034702623601967
Larry Miller,1.997073272708268
Robert Picardo,2.034493571652556
Bea Benaderet,2.456046827636668
Cush Jumbo,2.731577296958294
Dagmara Dominczyk,2.149158565903627
Portia de Rossi,2.2691543848646387
Caterina Murino,2.302080066896624
David Suchet,2.1462318386118953
Lee Remick,2.306052053935403
Tammy Macintosh,2.7361764398453015
James McCaffrey,2.1521898191700637
Kevin Doyle,2.3460855022473086
Zoie Palmer,2.617225880631337
Ashton Holmes,2.3548656841225046
Bo Derek,2.2707222744852094
Rajisha Vijayan,2.94878227239469
Judy Norton,2.5098777046095955
Jean-Claude Van Damme,2.1003449357165254
Lauren Lee Smith,2.173722169959235
Dominik Garcia,2.3329152294345143
Michele Carey,2.562245217936657
Phyllis Diller,2.273439949827532
Dylan Sprouse,2.3324971255356957
Robert Ben Garant,2.291313891502038
Jack Farthing,2.677119264137138
Mario Van Peebles,2.1267900073168184
Coleen Gray,2.4132957039824396
Mary Birdsong,2.127208111215637
Noel Wells,2.433678269049859
Pamela Adlon,2.0839343576878853
Li Jun Li,2.549597574997387
Caroline Dhavernas,2.2056025922441727
Tony Chiu-Wai Leung,2.4028431065119684
Ulrich Thomsen,2.1165464617957563
Phyllis Smith,2.212083202675865
Troye Sivan,2.6001881467544683
Mark Rolston,2.060729591303439
Stuart Wilson,2.0766175394585553
Lisa Loven Kongsli,2.398975645447894
John Mills,2.085606773283161
Morris Chestnut,2.106825546148218
David Bamber,2.182502351834431
Betsy Sodaro,2.2166823455628726
Raquel Welch,2.129403156684436
Jessie Royce Landis,2.6188982962266123
Claudia Doumit,2.504964983798474
Sarah Rose Karr,2.450716002926727
James Remar,1.9837984739207692
Marlene Dietrich,2.2756349952963313
Jackie Sandler,2.099195149994774
Scott MacArthur,2.458869028953695
Miranda Rae Mayo,2.7980558168704923
Chandra Wilson,2.326643670952232
Jillian Rose Reed,2.922128148844988
Christian Slater,1.9818124804013797
Griffin Dunne,2.033343785930804
Rick Ducommun,2.1024354552106197
James Wan,2.834326330093028
Nia Long,2.0933416954113095
Evan Rachel Wood,2.0930281174871954
Jeff Bennett,2.078603532977945
Charles Baker,2.3270617748510505
Antonique Smith,2.416536009198286
Carroll O'Connor,2.2673774432946585
Adam Copeland,2.6528692380056444
Fairuza Balk,2.1160238319222326
Julie Hagerty,2.070659558900387
Mat Fraser,3.038779136615449
Ben Daniels,2.261001358837671
Dominic Burgess,2.3138915020382567
Kristen Renton,2.460332392599561
Alyssa Milano,2.1208320267586496
Elizabeth Pena,2.0684645134315875
Amandla Stenberg,2.351729904881363
Yasmine Bleeth,2.576669802445908
Ward Bond,2.1647329361346292
Eric Bana,2.0956412668548134
Garcelle Beauvais,2.1211456046827637
Harmony Korine,2.470575938120623
Ziyi Zhang,2.1902372739625795
Tessa Thompson,2.111947318908749
Isabel May,2.8861712135465662
Randall Park,2.067210201735131
Devon Sawa,2.1931640012543117
Jedidiah Goodacre,2.5138496916483746
Sophia Loren,2.195986202571339
Charlotte Rampling,2.065537786139856
Tom Irwin,2.228493780704505
Justine Bateman,2.31817706700115
Warren Beatty,2.1546984425629767
Kavan Smith,2.557227971150831
Shelley Hennig,2.538935925577506
Audrey Hepburn,2.3062611058848126
Meaghan Martin,2.610536218250235
Ona Grauer,2.2341381833385596
Summer Bishil,2.421657781958817
Nigel Terry,2.246054144454897
Ben Miles,2.2938225148949516
Lynda Boyd,2.102853559109439
Jeremy Bobb,2.2129194104735026
Aly Michalka,2.3417999372844154
Edward Norton,2.040242500261315
Will Estes,2.1956726246472247
Fredric Lehne,2.1013901954635728
Chris Kattan,2.119159611163374
J.T. Walsh,2.0422284937807045
Jacob Tremblay,2.2491899236960387
Katherine Cunningham,2.6608132120832027
Chris Penn,2.038465558691335
Sarah Solemani,2.5079962370649107
Joe Jonas,2.3276889306992787
Jesse Metcalfe,2.3747256193164
Jaime Lorente,2.9832758440472458
Sean Gunn,2.1130971046305005
Nick Wechsler,3.08957876032194
Nicola Walker,2.5223162955994565
Chris Rock,2.013588376711613
Freddie Prinze Jr.,2.1360928190655377
Irene Jacob,2.209365527333542
Elaine Hendrix,2.1213546566321733
Lorne Greene,2.452597470471412
Lexa Doig,2.757186160760949
Oakes Fegley,2.3191178007734923
Philip Seymour Hoffman,2.00731681822933
Erik von Detten,2.1541758126894535
Harriet Sansom Harris,2.1896101181143512
Paul Winfield,2.1599247412982128
Mike O'Malley,2.1449775269154383
Ellen Dubin,2.212814884498798
Sonequa Martin-Green,2.7543639594439218
Mel Gibson,2.0145291104839553
Akshay Kumar,2.3174453851782166
Joanne Kelly,2.372635099822306
Bill Paxton,2.006271558482283
Alex O'Loughlin,2.3618689244277205
Charlotte Nicdao,2.5965297376398033
Jesse Eisenberg,2.0575938120622976
Johanna Braddy,2.2345562872373783
J. Pat O'Malley,2.1771715271244902
Karen Lynn Gorney,2.2813839239050906
Enrique Murciano,2.181038988188565
Louisa Krause,2.19755409219191
Natalie Krill,2.3973032298526182
Drea de Matteo,2.1180098254416224
Joe Russo,2.24302289118846
Isabelle Fuhrman,2.1988084038883664
James Marshall,2.2114560468276365
Ari Graynor,2.080798578446744
Olivia Sanabia,3.1468589944601235
Teri Hatcher,2.1227134943033343
Robert Maschio,2.8772865056966657
Michael Dudikoff,2.252012125013066
Jennifer Cheon Garcia,2.319222326748197
Billie Hayes,2.507473607191387
Paisley Cadorath,2.675655900491272
Andrew Dice Clay,2.127208111215637
Kim Dickens,2.097522734399498
Florence Pugh,2.322462631964043
Lake Bell,2.085084143409637
Bitty Schram,2.2077976377129716
Risteard Cooper,2.552419776314414
Lysette Anthony,2.2360196508832444
Mark Duplass,2.140378384028431
Dylan Sprayberry,2.3329152294345143
Rose Leslie,2.502456360405561
Jonathan Kerrigan,2.7477788230375246
Chrishell Stause,2.9559945646493153
Adrian Scarborough,2.1683913452492947
Aaron Tveit,2.2225358001463364
Chelah Horsdal,2.0732727082680045
Peter Vack,2.2590153653182816
Isaac Hayes,2.1001358837671162
Joy Harmon,2.5201212501306576
Rosanna Arquette,1.9998954740252952
Lora Martinez-Cunningham,2.160865475070555
Sabrina Scharf,2.7007421344204037
David Walliams,2.1373471307619942
Djimon Hounsou,2.0368976690707643
Joel Coen,2.5966342636145083
Norman Lloyd,2.2079021636876766
Adam Elshar,2.8368349534859414
Eli Wallach,2.0429601756036373
James Frecheville,2.262255670534128
Poppy Corby-Tuech,2.5518971464408904
Allison Tolman,2.2976899759590257
Toshiro Mifune,2.2791888784362913
Kate McNeil,2.380892651823978
Paul Guilfoyle,2.0454687989965508
Kathleen Beller,2.443921814570921
Andrew Buchan,2.5715480296853768
Lesley Vickerage,2.890979408382983
Fred Melamed,2.0583254938852305
Andy Dick,2.0357478833490124
Steve Martin,2.035016201526079
Alex Pettyfer,2.2188773910316715
Milton Berle,2.2978990279084353
Fran Kranz,2.062402006898714
Marc Maron,2.1982857740148427
Jennifer Coolidge,2.0246681300303124
Clare Kramer,2.288491690185011
Ron Moody,2.3962579701055713
Ana Ularu,2.3454583463990804
Devyn A. Tyler,2.2864011706909166
Ian Anthony Dale,2.379220236228703
Paola Lazaro,2.852304797742239
Felicity Kendal,2.602905822096791
Jon Watts,2.973763980349117
Ambyr Childers,2.132016306052054
Gavin MacLeod,2.3013483850736907
Tang Wei,2.427824814466395
Ben Diskin,2.187310546670848
Brandon De Wilde,2.490226821365109
Emmy Raver-Lampman,2.788334901222954
Ida Engvoll,3.119264137138079
Kevin McNally,2.13901954635727
Carrie Henn,2.7867670116023833
Laz Alonso,2.1372426047872897
Andre Braugher,2.105675760426466
Conchita Campbell,2.4488345353820424
Alexandra Chando,3.0944914811330615
Ralph Ineson,2.095536740880109
Heather Matarazzo,2.1165464617957563
Johnny Vegas,2.435455210619839
Robert Fuller,2.346712658095537
Abby Brammell,2.400648061043169
Edward James Olmos,2.0812166823455627
Elliot Fletcher,2.832131284624229
Victoria Hamilton,2.6147172572384236
Lindsay Duncan,2.1238632800250863
William Baldwin,2.078603532977945
Taylor Dooley,2.731577296958294
Katie Lowes,2.1663008257552003
Tim Allen,2.111842792934044
Camille Guaty,2.2953904045155222
Gaia Weiss,2.5428033866415802
Raymond Cruz,2.1094386955158355
Engin Akyurek,0.0
Eric Balfour,2.122922546252744
Hal Ozsan,2.3327061774851052
Taral Hicks,2.4994251071391242
Jake McLaughlin,2.2225358001463364
Kerr Smith,2.4850005226298735
Dylan Walsh,2.1075572279711507
Brock O'Hurn,3.0001045259747046
Jessica Barth,2.279711508309815
Efrat Dor,2.7754782063342742
Sean Bean,2.02571338977736
Ralph Waite,2.230793352148009
Brittany Snow,2.1504128776000835
Alex Saxon,2.9187833176544373
Bobb'e J. Thompson,2.1818751959862026
Misty Rosas,2.3636458659977
Christy Carlson Romano,2.3211037942928816
Andrew Rannells,2.3295703982439635
Michael DeLuise,2.4228075676805685
Rob Delaney,2.200062715584823
Ellen Adair,2.89202466813003
Susan Yeagley,2.230270722274485
Eileen Davidson,2.664053517299049
Robin Lord Taylor,2.278561722588063
Angus Macfadyen,2.0911466499425106
Hassie Harrison,2.587122399916379
Shannon Kook,2.4820737953381413
Betty Garrett,2.7409846346817184
Diarmaid Murtagh,2.3273753527751646
Enver Gjokaj,2.2329883976168077
Chazz Palminteri,2.03282115605728
Jamie Chung,2.122818020278039
Matthew Labyorteaux,2.2439636249608026
Lara Jill Miller,2.5739521271035852
Scarlett Pomers,2.322044528065224
Hugh Jackman,2.02372739625797
Evan Jones,2.096059370753632
Kat Foster,2.6883035434305427
Jonathan Del Arco,2.616076094909585
Mindy Robinson,2.150621929549493
Carrie-Anne Moss,2.0741089160656423
Michael Richards,2.246367722379011
Susan Oliver,2.6228702832653914
Marcia Wallace,2.3172363332288075
Dennis Dun,2.4224939897564544
Alan Hale Jr.,2.3456673983484895
Brian George,2.067001149785722
Christopher Timothy,2.5790738998641163
Billy West,2.170690916692798
Horatio Sanz,2.1010766175394586
Sarah Jessica Parker,2.0620884289746
Taika Waititi,2.24302289118846
Liam McIntyre,2.487404620048082
Kenneth Branagh,2.0403470262360197
Jessica Tandy,2.21396467022055
Charlie Barnett,2.466603951081844
Irene Ryan,2.4129821260583255
Emma Mackey,3.0279084352461587
Auli'i Cravalho,2.487718197972196
Terry Kinney,2.1349430333437858
Andy Muschietti,2.754154907494512
Jake Thomas,2.340754677537368
Hunter Doohan,3.060729591303439
Joshua John Miller,2.413191178007735
George Eads,2.693947946064597
Blanca Soto,2.547716107452702
Kimmy Robertson,2.209051949409428
Mario Lopez,2.192745897355493
Constance Wu,2.3532977945019335
May-Linda Kosumovic,0.0
Lizzie Brochere,2.6275739521271038
Kristen Wiig,2.0193373053203723
Francine York,2.3445176126267375
Reign Edwards,2.711194731890875
Meryl Streep,2.001463363645866
Alex Wolff,2.1877286505696665
Michael Rady,2.319222326748197
Larenz Tate,2.234242709313264
Troy Baker,2.448730009407338
Susan Blakely,2.2210724365004704
Elinor Donahue,2.3044841643148324
John Carpenter,2.262464722483537
Christopher Reeve,2.167450611476952
Francois Truffaut,2.5979931012856694
Kym Whitley,2.1299257865579597
Jason Gedrick,2.180829936239155
Sheridan Smith,2.3610327166300826
Keith David,1.947318908748824
Maggie Elizabeth Jones,2.3807881258492736
Megan Hilty,2.352461586704296
Vanessa Giselle,2.5848228284728756
Madison Bailey,2.7145395630814257
Jessica Ellerby,2.6252743806836
Corey Hawkins,2.2640326121041077
Susan Gibney,2.3516253789066583
David Henrie,2.351416326957249
Merab Ninidze,2.446430437963834
Park Shin-Hye,2.6908121668234557
Paula Marshall,2.2439636249608026
Kelly Hu,2.0963729486777463
Rachel Miner,2.2010034493571653
Tantoo Cardinal,2.2257761053621823
Siobhan Finneran,2.8850214278248143
Marty Feldman,2.4892860875927667
Saundra Santiago,2.4945123863280023
Ryan Bingham,2.4768474966029057
Hayley Law,2.7918887843629143
Molly Price,2.1954635726978156
Walter Brennan,2.149158565903627
Dennis Christopher,2.124281383923905
Eva Gabor,2.5095641266854813
Parveen Dosanjh,3.1196822410368976
Peter Dinklage,2.009929967596948
Alba Baptista,2.8225148949513956
Jes Macallan,2.6822410368976692
Amelia Clarkson,2.5482387373262254
Hayden Christensen,2.0919828577401485
Alyson Stoner,2.2638235601546985
Madolyn Smith Osborne,2.4393226716839136
Larry Storch,2.273753527751646
Kane Hodder,2.0538308769729277
Lina Esco,2.4853141005539876
Navid Negahban,2.1152921500993
Sarah Jones,2.4894951395421763
Chris Klein,2.1460227866624857
Midori Francis,2.51552210724365
Elle Fanning,2.0517403574788333
Hannah Waddingham,2.3361555346503606
Erika Eleniak,2.191596111633741
Laetitia Casta,2.305215846137765
Jim Sturgess,2.140691961952545
Michelle Krusiec,2.1211456046827637
Lana Clarkson,2.269781540712867
Terry Jones,2.3303020800668968
Yan-Kay Crystal Lowe,2.1450820528901433
Yannick Bisson,2.5452074840597887
Ashley Johnson,2.087070136929027
Don Swayze,2.2184592871328523
Michael Copon,2.4495662172049752
Saul Rubinek,2.023413818333856
Eden Brolin,2.503083516253789
Megan Park,2.3134733981394375
Bailey Noble,2.6469112574474756
Pamela Anderson,2.241664053517299
Lana Parrilla,2.5840911466499423
Kevin Corrigan,1.9788857531096478
Nnamdi Asomugha,2.4356642625692486
Sara Montiel,2.8260687780913556
Lee Garlington,2.0453642730218458
Paul Piaskowski,2.698338037002195
Kevin Peter Hall,2.3716943660499634
Tamsin Egerton,2.293613462945542
Brenton Thwaites,2.2692589108393437
Ernie Reyes Jr.,2.247517508100763
Jessica Rothe,2.232570293717989
Jared Rushton,2.4302289118846034
Zachary Levi,2.1449775269154383
Lee Min-Ho,3.854499843211038
Jasmine Cephas Jones,2.4221804118323402
Laura Brent,2.6165987247831084
Toby Kebbell,2.06762830563395
Samantha Barks,2.3428451970314623
Matt Nable,2.361137242604787
Estelle Getty,2.392704086965611
Seth MacFarlane,2.1832340336573637
Sam Waterston,2.089892338246054
Kelly Reilly,2.167555137451657
Gabriel Jarret,2.1914915856590365
Josh Herdman,2.298317131807254
Lucinda Dickey,2.7004285564962895
Jack Quaid,2.229748092400962
Claudia Jessie,2.773596738789589
Steven Wright,2.103794292881781
Amir El-Masry,2.3211037942928816
Alan Arkin,1.998536636354134
Cecile de France,2.2399916379220235
Felicia Day,2.598202153235079
Jim Jarmusch,2.3694993205811645
Nathalie Emmanuel,2.428974600188147
Chris Conner,2.255984112051845
Victor Rasuk,2.1124699487822722
Jemima Rooper,2.4297062820110797
Elizabeth Hanks,2.4663948991324345
Robin Tunney,2.1047350266541236
Stephen Lang,2.0173513118009825
Heather Doerksen,2.243859098986098
Adam Croasdell,2.4085920351207273
French Stewart,2.1628514685899445
Diane Farr,2.4696352043482808
Kyle Schmid,2.3512072750078397
Gloria Grahame,2.389672833699174
Christine Woods,2.431169645656946
Aleksa Palladino,2.1536531828159298
Tony Shalhoub,2.0129612208633847
Jamie Gray Hyder,2.518239782585973
Donna Reed,2.370440054353507
Sian Brooke,2.3661544893906137
Alysia Reiner,2.225253475488659
Jean Dujardin,2.2394690080485002
Carlos Cuevas,2.7281279397930387
Cynthia Daniel,2.7197658618166614
Peter Boyle,2.055921396467022
Corey Feldman,2.116964565694575
Chris Noth,2.1148740462004807
Joel Murray,2.0843524615867044
Janet McTeer,2.1747674297062822
Alicia Coppola,2.4546879899655063
Laura Silverman,2.368140482910003
Giselle Eisenberg,2.402947632486673
Eric Shea,2.4948259642521164
Brittany Daniel,2.279711508309815
Lindy Booth,2.2381101703773387
Gloria Swanson,2.6505696665621405
Joseph Fiennes,2.126580955367409
David Hyde Pierce,2.1029580850841434
Andrea Savage,2.250026131493676
Ariyon Bakare,2.237901118427929
Dalila Bela,2.415386223476534
Elizabeth Allen,2.6736699069718823
Frank Welker,1.9174244799832758
Daniel Stern,2.0827845719661338
Ryan Gosling,2.085606773283161
Geoffrey Holder,2.225567053412773
Tian Jing,2.4604369185742656
Ellen Greene,2.1632695724887636
Hal Sparks,2.191596111633741
Sebastian Stan,2.0730636563185953
Alex Roe,2.40953276889307
Mark Harmon,2.1463363645866
Sheree J. Wilson,2.5735340232047665
Jon Voight,2.0041810389881887
Linda Gray,2.3851782167868714
Hugh Bonneville,2.109961325389359
Adrian Pasdar,2.178112260896833
Martin Donovan,2.0185010975227344
Lilly Aspell,2.4982753214173723
Harvey Weinstein,2.721751855336051
Pernilla August,2.258283683495349
Austin Stowell,2.183965715480297
Dana DeLorenzo,2.5417581268945333
Rob Morgan,2.242500261314937
Sam Underwood,2.653391867879168
Joy Bryant,2.1574161179052993
Fred Tatasciore,1.983902999895474
Jennifer Flavin,2.8751959862025713
Wes Studi,2.0586390718093446
Jemma Redgrave,2.4776837044005435
Araya Mengesha,2.58869028953695
Wyatt Russell,2.1705863907180936
Casimere Jollette,2.749555764607505
Gaten Matarazzo,2.687467335632905
Khandi Alexander,2.1344204034702625
Elizabeth Berrington,2.2166823455628726
Chloe Bennet,2.4875091460227865
Diana Canova,2.753841329570398
Natalie Zea,2.3241350475593183
Michael Shanks,2.405456255879586
Kareena Kapoor,2.5438486463886276
C.M. Punk,2.9441831295076826
Trine Dyrholm,2.494721438277412
Brendan Fehr,2.1471725723842376
John David Washington,2.281906553778614
Kevin Sussman,2.1026445071600293
